Class,Method,SourceCodeLine
BPOfferService,updateActorStatesFromHeartbeat,447
BPOfferService,processCommandFromActor,502
BPOfferService,processCommandFromActive,550
BPOfferService,processCommandFromActive,559
DataStorage,recoverTransitionRead,139
DataStorage,recoverTransitionRead,183
DataStorage,recoverTransitionRead,192
DataStorage,setFieldsFromProperties,315
DataStorage,setFieldsFromProperties,320
DataStorage,isPreUpgradableLayout,346
DataStorage,doTransition,374
DataStorage,doTransition,385
DataStorage,doTransition,393
DataStorage,doTransition,414
DataStorage,doUpgrade,457
DataStorage,doUpgrade,466
DataStorage,cleanupDetachDir,504
DataStorage,cleanupDetachDir,509
DataStorage,doRollback,546
DataStorage,doRollback,551
DataStorage,doRollback,554
DataStorage,doFinalize,582
DataStorage,linkBlocks,685
DataStorage,linkBlocks,688
DataStorage,linkBlocks,699
ReplicaInPipeline,createStreams,199
ReplicaInPipeline,createStreams,212
ReplicaInPipeline,createStreams,220
DataNode$DataTransfer,run,1477
DataNode$DataTransfer,run,1480
DataNode$DataTransfer,run,1496
DataBlockScanner,getBlocksScannedInLastRun,278
DataBlockScanner,getTotalScans,288
browseBlock_jsp,_jspService,91
ReplicaInfo,unlinkFile,169
ReplicaInfo,unlinkFile,172
ReplicaInfo,unlinkFile,176
ReplicaInfo,unlinkFile,185
ReplicaInfo,unlinkBlock,203
ReplicaInfo,setNewerGenerationStamp,226
DataXceiverServer,run,143
DataXceiverServer,kill,188
BlockPoolSliceStorage,recoverTransitionRead,96
BlockPoolSliceStorage,recoverTransitionRead,137
BlockPoolSliceStorage,recoverTransitionRead,146
BlockPoolSliceStorage,recoverTransitionRead,148
BlockPoolSliceStorage,setBlockPoolID,203
BlockPoolSliceStorage,setBlockPoolID,208
BlockPoolSliceStorage,doTransition,246
BlockPoolSliceStorage,doTransition,252
BlockPoolSliceStorage,doTransition,257
BlockPoolSliceStorage,doTransition,274
BlockPoolSliceStorage,doUpgrade,315
BlockPoolSliceStorage,doUpgrade,323
BlockPoolSliceStorage,doUpgrade,331
BlockPoolSliceStorage,cleanupDetachDir,356
BlockPoolSliceStorage,cleanupDetachDir,361
BlockPoolSliceStorage,doRollback,398
BlockPoolSliceStorage,doRollback,405
BlockPoolSliceStorage,doRollback,408
BlockPoolSliceStorage,doFinalize,435
BlockReceiver$PacketResponder,run,918
ReplicaMap,<init>,41
ReplicaMap,checkBlockPool,55
ReplicaMap,checkBlock,61
FsVolumeImpl,getBlockPoolSlice,122
FsVolumeImpl,deleteBPDirectories,260
FsVolumeImpl,deleteBPDirectories,263
FsVolumeImpl,deleteBPDirectories,268
FsVolumeImpl,deleteBPDirectories,272
FsVolumeImpl,deleteBPDirectories,276
FsVolumeImpl,deleteBPDirectories,280
FsDatasetAsyncDiskService,execute,120
FsDatasetAsyncDiskService,execute,124
LDir,<init>,51
LDir,recoverTempUnlinkedBlock,145
LDir,recoverTempUnlinkedBlock,149
RollingLogsImpl,roll,110
RollingLogsImpl,roll,119
RollingLogsImpl$1,append,54
BlockPoolSlice,<init>,100
BlockPoolSlice,<init>,105
BlockPoolSlice,validateIntegrity,271
FsDatasetImpl,<init>,182
FsDatasetImpl,<init>,187
FsDatasetImpl,getBlockFile,299
FsDatasetImpl,getBlockFileNoExistsCheck,317
FsDatasetImpl,getReplicaInfo,352
FsDatasetImpl,getReplicaInfo,371
FsDatasetImpl,truncateBlock,432
FsDatasetImpl,truncateBlock,455
FsDatasetImpl,truncateBlock,469
FsDatasetImpl,append,484
FsDatasetImpl,append,490
FsDatasetImpl,append,495
FsDatasetImpl,append,525
FsDatasetImpl,append,561
FsDatasetImpl,recoverCheck,579
FsDatasetImpl,recoverCheck,589
FsDatasetImpl,recoverCheck,605
FsDatasetImpl,recoverCheck,612
FsDatasetImpl,createRbw,687
FsDatasetImpl,recoverRbw,710
FsDatasetImpl,recoverRbw,727
FsDatasetImpl,recoverRbw,735
FsDatasetImpl,convertTemporaryToRbw,759
FsDatasetImpl,convertTemporaryToRbw,764
FsDatasetImpl,convertTemporaryToRbw,771
FsDatasetImpl,convertTemporaryToRbw,783
FsDatasetImpl,convertTemporaryToRbw,789
FsDatasetImpl,createTemporary,812
FsDatasetImpl,finalizeBlock,859
FsDatasetImpl,finalizeReplica,882
FsDatasetImpl,getBlockReport,966
FsDatasetImpl,checkReplicaFiles,1042
FsDatasetImpl,checkReplicaFiles,1046
FsDatasetImpl,checkReplicaFiles,1052
FsDatasetImpl,checkReplicaFiles,1055
FsDatasetImpl,invalidate,1121
FsDatasetImpl,checkDataDir,1189
FsDatasetImpl,initReplicaRecovery,1445
FsDatasetImpl,initReplicaRecovery,1455
FsDatasetImpl,initReplicaRecovery,1462
FsDatasetImpl,initReplicaRecovery,1472
FsDatasetImpl,updateReplicaUnderRecovery,1506
FsDatasetImpl,updateReplicaUnderRecovery,1511
FsDatasetImpl,updateReplicaUnderRecovery,1517
FsDatasetImpl,updateReplicaUnderRecovery,1528
FsDatasetImpl,updateReplicaUnderRecovery,1549
FsDatasetImpl,updateReplicaUnderRecovery,1559
FsDatasetImpl,getReplicaVisibleLength,1579
FsDatasetImpl,deleteBlockPool,1664
RollingLogsImpl$Reader,readNext,194
RollingLogsImpl$Reader,close,230
RollingLogsImpl$Reader,close,230
RollingLogsImpl$Reader,close,231
FsDatasetUtil,getOrigFile,40
FsDatasetUtil,findMetaFile,65
FsDatasetUtil,findMetaFile,69
RoundRobinVolumeChoosingPolicy,chooseVolume,37
RoundRobinVolumeChoosingPolicy,chooseVolume,60
BlockPoolSliceScanner,verifyBlock,445
BlockPoolSliceScanner,assignInitialVerificationTimes,531
BlockPoolSliceScanner,scan,644
BlockPoolSliceScanner,scan,650
ReplicaUnderRecovery,<init>,45
ReplicaUnderRecovery,setRecoveryID,77
BPServiceActor,retrieveNamespaceInfo,179
BPServiceActor,checkNNVersion,193
BPServiceActor,checkNNVersion,207
BPServiceActor,reportReceivedDeletedBlocks,302
BPServiceActor,offerService,526
BlockPoolManager,addBlockPool,71
BlockPoolManager,doRefreshNamenodes,161
BlockPoolManager,doRefreshNamenodes,188
DataXceiver,run,191
DataXceiver,run,208
DataXceiver,run,236
DataXceiver,readBlock,275
DataXceiver,readBlock,317
DataXceiver,readBlock,320
DataXceiver,writeBlock,349
DataXceiver,writeBlock,479
DataXceiver,writeBlock,538
DataXceiver,writeBlock,546
DataXceiver,transferBlock,570
DataXceiver,blockChecksum,619
DataXceiver,copyBlock,679
DataXceiver,copyBlock,691
DataXceiver,replaceBlock,774
DataXceiver,replaceBlock,778
DataXceiver,replaceBlock,804
DataXceiver,replaceBlock,826
DataXceiver,checkAccess,909
DataXceiver,checkAccess,912
tail_jsp,_jspService,89
SecureDataNodeStarter,getSecureResources,109
SecureDataNodeStarter,getSecureResources,138
SecureDataNodeStarter,getSecureResources,145
BlockReceiver,<init>,190
BlockReceiver,<init>,200
BlockReceiver,<init>,241
BlockReceiver,close,284
BlockReceiver,close,306
BlockReceiver,close,313
BlockReceiver,handleMirrorOutError,362
BlockReceiver,verifyChunks,390
BlockReceiver,receivePacket,426
BlockReceiver,receivePacket,432
BlockReceiver,receivePacket,486
BlockReceiver,receivePacket,543
BlockReceiver,receiveBlock,675
BlockReceiver,receiveBlock,693
BlockReceiver,computePartialChunkCrc,763
BlockReceiver,computePartialChunkCrc,778
BlockSender,<init>,204
BlockSender,<init>,208
BlockSender,<init>,233
BlockSender,<init>,285
BlockSender,close,372
BlockSender,getReplica,381
BlockSender,waitForMinLength,405
BlockSender,sendPacket,541
BlockSender,readChecksum,576
BlockSender,verifyChecksum,605
BlockSender,sendBlock,630
BlockSender,sendBlock,686
BlockSender,sendBlock,698
BlocksMap,replaceBlock,203
BlockManager,<init>,257
BlockManager,<init>,261
BlockManager,<init>,265
BlockManager,setBlockPlacementPolicy,399
BlockManager,metaSave,406
BlockManager,dumpBlockMeta,454
BlockManager,commitBlock,520
BlockManager,completeBlock,568
BlockManager,completeBlock,571
BlockManager,convertLastBlockToUnderConstruction,632
BlockManager,createLocatedBlockList,691
BlockManager,createLocatedBlock,727
BlockManager,createLocatedBlock,760
BlockManager,createLocatedBlocks,776
BlockManager,verifyReplication,861
BlockManager,verifyReplication,864
BlockManager,getBlocks,883
BlockManager,getBlocksWithLocations,893
BlockManager,findAndMarkBlockAsCorrupt,983
BlockManager,markBlockAsCorrupt,1001
BlockManager,invalidateBlock,1035
BlockManager,computeReplicationWorkForBlocks,1170
BlockManager,computeReplicationWorkForBlocks,1200
BlockManager,computeReplicationWorkForBlocks,1296
BlockManager,chooseTarget,1344
BlockManager,processPendingReplications,1468
BlockManager,processReport,1542
BlockManager,processReport,1577
BlockManager,processFirstBlockReport,1668
BlockManager,processFirstBlockReport,1669
BlockManager,reportDiff,1727
BlockManager,queueReportedBlock,1864
BlockManager,processAllPendingDNMessages,1907
BlockManager,processAllPendingDNMessages,1916
BlockManager,addStoredBlockImmediate,2038
BlockManager,addStoredBlock,2072
BlockManager,addStoredBlock,2089
BlockManager,addStoredBlock,2091
BlockManager,processMisReplicatedBlocks,2216
BlockManager,processMisReplicatedBlocks,2246
BlockManager,processOverReplicatedBlock,2338
BlockManager,chooseExcessReplicates,2391
BlockManager,addToExcessReplicate,2473
BlockManager,removeStoredBlock,2498
BlockManager,processAndHandleReportedBlock,2598
BlockManager,processIncrementalBlockReport,2638
BlockManager,processIncrementalBlockReport,2662
BlockManager,processIncrementalBlockReport,2679
BlockManager,removeBlock,2862
BlockManager,updateNeededReplications,2903
BlockManager,invalidateWorkForOneNode,2950
BlockManager,computeDatanodeWork,3124
PendingReplicationBlocks$PendingBlockInfo,decrementReplicas,192
Host2NodesMap,contains,57
Host2NodesMap,add,86
Host2NodesMap,remove,132
Host2NodesMap,getDatanodeByHost,159
Host2NodesMap,getDatanodeByXferAddr,188
BlockPlacementPolicyDefault,chooseRandom,413
BlockPlacementPolicyDefault,chooseRandom,461
BlockInfoUnderConstruction,<init>,148
BlockInfoUnderConstruction,convertToCompleteBlock,164
BlockInfoUnderConstruction,commitBlock,222
UnderReplicatedBlocks,getPriority,153
UnderReplicatedBlocks,add,190
DatanodeManager,getDatanode,337
DatanodeManager,removeDatanode,358
DatanodeManager,registerDatanode,629
DatanodeManager,registerDatanode,641
DatanodeManager,getDecommissioningNodes,813
DatanodeManager,fetchDatanodes,863
DatanodeManager,fetchDatanodes,883
DatanodeManager,handleHeartbeat,1066
BlockInfo,getDatanode,84
BlockInfo,getDatanode,85
BlockInfo,getPrevious,90
BlockInfo,getPrevious,91
BlockInfo,getPrevious,93
BlockInfo,getNext,100
BlockInfo,getNext,101
BlockInfo,getNext,103
BlockInfo,setDatanode,110
BlockInfo,setDatanode,111
BlockInfo,setPrevious,116
BlockInfo,setPrevious,117
BlockInfo,setNext,122
BlockInfo,setNext,123
BlockInfo,getSetPrevious,136
BlockInfo,getSetPrevious,137
BlockInfo,getSetNext,152
BlockInfo,getSetNext,153
BlockInfo,getCapacity,160
BlockInfo,getCapacity,161
BlockInfo,ensureCapacity,170
BlockInfo,numNodes,186
BlockInfo,numNodes,187
BlockInfo,removeNode,216
BlockInfo,listInsert,256
BlockInfo,listInsert,257
HeartbeatManager,heartbeatCheck,263
DatanodeDescriptor,replaceBlock,276
DatanodeDescriptor,replaceBlock,278
DatanodeDescriptor,addBlockToBeReplicated,359
DatanodeDescriptor,addBlocksToBeInvalidated,379
FSEditLog,openForWrite,261
FSEditLog,openForWrite,265
FSEditLog,close,301
FSEditLog,logEdit,356
FSEditLog,beginTransaction,418
FSEditLog,endTransaction,431
FSEditLog,logSync,557
FSEditLog,logSync,571
FSEditLog,logSync,607
FSEditLog,rollEditLog,894
FSEditLog,purgeLogsOlderThan,998
FSEditLog,selectInputStreams,1160
FSEditLog,checkForGaps,1184
FSEditLog,checkForGaps,1194
FSEditLog,getJournalClass,1231
FSEditLogOp$SymlinkOp,readFields,1545
NamenodeWebHdfsMethods,chooseDatanode,184
NamenodeWebHdfsMethods,chooseDatanode,189
NamenodeWebHdfsMethods,put,436
NamenodeWebHdfsMethods,put,468
NamenodeWebHdfsMethods,post,558
NamenodeWebHdfsMethods,get,666
NamenodeWebHdfsMethods,get,692
NamenodeWebHdfsMethods,get,708
NamenodeWebHdfsMethods,getDirectoryListing,716
NamenodeWebHdfsMethods,delete,832
SerialNumberManager$SerialNumberMap,get,72
BackupNode$BackupNodeRpcServer,verifyJournalRequest,244
BackupNode$BackupNodeRpcServer,verifyJournalRequest,250
INodeDirectory,valueOf,40
INodeDirectory,valueOf,43
INodeDirectory,removeChild,85
INodeDirectory,replaceChild,100
INodeDirectory,replaceChild,106
INodeDirectory,getExistingPathINodes,190
INodeDirectory,getExistingPathINodes,216
INodeDirectory,getParent,347
INodeDirectory,getParent,351
INodeDirectory,computeContentSummary,391
INodeDirectory,computeContentSummary,402
GetDelegationTokenServlet,doGet,84
SecondaryNameNode$CommandLineOpts,parse,702
SecondaryNameNode$CommandLineOpts,parse,714
INodeFileUnderConstruction,valueOf,42
INodeFileUnderConstruction,convertToInodeFile,113
INodeFileUnderConstruction,removeLastBlock,143
INodeFileUnderConstruction,removeLastBlock,147
INodeFileUnderConstruction,setLastBlock,164
INodeFileUnderConstruction,updateLengthOfLastBlock,184
INodeFileUnderConstruction,updateLengthOfLastBlock,186
StreamFile,doGet,119
StreamFile,doGet,124
FSImagePreTransactionalStorageInspector,readCheckpointTime,138
FSImagePreTransactionalStorageInspector,getLatestImage,152
FSImagePreTransactionalStorageInspector,getLatestImage,154
FSImagePreTransactionalStorageInspector,getLatestImage,171
FSImagePreTransactionalStorageInspector,doRecovery,216
FSImagePreTransactionalStorageInspector,doRecovery,231
FSImagePreTransactionalStorageInspector,getEditsInStorageDir,247
INodeSymlink,<init>,37
FSDirectory,addFile,261
FSDirectory,unprotectedAddFile,283
FSDirectory,addToParent,332
FSDirectory,addBlock,348
FSDirectory,addBlock,376
FSDirectory,closeFile,416
FSDirectory,removeBlock,431
FSDirectory,renameTo,472
FSDirectory,renameTo,497
FSDirectory,unprotectedRenameTo,515
FSDirectory,unprotectedRenameTo,541
FSDirectory,unprotectedRenameTo,611
FSDirectory,unprotectedRenameTo,631
FSDirectory,unprotectedRenameTo,648
FSDirectory,unprotectedRenameTo,654
FSDirectory,unprotectedRenameTo,659
FSDirectory,unprotectedRenameTo,664
FSDirectory,unprotectedRenameTo,674
FSDirectory,unprotectedRenameTo,684
FSDirectory,unprotectedRenameTo,693
FSDirectory,unprotectedRenameTo,699
FSDirectory,unprotectedRenameTo,708
FSDirectory,unprotectedRenameTo,715
FSDirectory,unprotectedRenameTo,721
FSDirectory,unprotectedRenameTo,732
FSDirectory,unprotectedRenameTo,785
FSDirectory,unprotectedRenameTo,788
FSDirectory,setReplication,812
FSDirectory,unprotectedSetReplication,820
FSDirectory,unprotectedSetReplication,827
FSDirectory,getPreferredBlockSize,857
FSDirectory,getPreferredBlockSize,860
FSDirectory,getPreferredBlockSize,865
FSDirectory,exists,881
FSDirectory,unprotectedSetPermission,897
FSDirectory,unprotectedSetPermission,900
FSDirectory,setOwner,912
FSDirectory,unprotectedSetOwner,918
FSDirectory,unprotectedSetOwner,921
FSDirectory,concat,946
FSDirectory,unprotectedConcat,960
FSDirectory,delete,1016
FSDirectory,isNonEmptyDirectory,1041
FSDirectory,unprotectedDelete,1055
FSDirectory,unprotectedDelete,1073
FSDirectory,replaceNode,1121
FSDirectory,replaceNode,1138
FSDirectory,getListing,1178
FSDirectory,getFileInfo,1201
FSDirectory,getFileBlocks,1221
FSDirectory,isValidToCreate,1290
FSDirectory,isDir,1304
FSDirectory,updateSpaceConsumed,1325
FSDirectory,updateSpaceConsumed,1331
FSDirectory,updateCount,1346
FSDirectory,updateCountNoQuotaCheck,1371
FSDirectory,unprotectedUpdateCount,1389
FSDirectory,mkdirs,1468
FSDirectory,mkdirs,1525
FSDirectory,unprotectedMkdir,1534
FSDirectory,unprotectedMkdir,1551
FSDirectory,addNode,1574
FSDirectory,verifyFsLimits,1672
FSDirectory,verifyFsLimits,1679
FSDirectory,verifyFsLimits,1689
FSDirectory,addChild,1719
FSDirectory,getContentSummary,1780
FSDirectory,getContentSummary,1787
FSDirectory,unprotectedSetQuota,1880
FSDirectory,unprotectedSetQuota,1886
FSDirectory,unprotectedSetQuota,1896
FSDirectory,unprotectedSetQuota,1898
FSDirectory,unprotectedSetQuota,1900
FSDirectory,setQuota,1952
FSDirectory,setTimes,1974
FSDirectory,unprotectedSetTimes,1982
FSDirectory,unprotectedSetTimes,1989
FSDirectory,createLocatedFileStatus,2075
FSDirectory,addSymlink,2132
FSDirectory,unprotectedAddSymlink,2151
INode,setModificationTime,297
INode,getPathNames,368
SaveNamespaceContext,checkCancelled,78
FSImageStorageInspector$FSImageFile,<init>,72
EditLogFileOutputStream,close,125
EditLogFileOutputStream,flushAndSync,179
LeaseManager,reassignLease,175
LeaseManager,findPath,194
LeaseManager,checkLeases,454
TransferFsImage,downloadImageToStorage,83
TransferFsImage,downloadEditsToStorage,94
TransferFsImage,downloadEditsToStorage,102
TransferFsImage,uploadImageFromStorage,147
TransferFsImage,getFileServer,201
TransferFsImage,doGetUrl,248
TransferFsImage,doGetUrl,257
TransferFsImage,doGetUrl,270
TransferFsImage,doGetUrl,314
TransferFsImage,doGetUrl,341
TransferFsImage,doGetUrl,341
TransferFsImage,doGetUrl,345
TransferFsImage,doGetUrl,357
NameNode,getProtocolVersion,225
NameNode,getAddress,328
NameNode,getAddress,334
NameNode,validateConfigurationSettings,477
NameNode,startTrashEmptier,523
NameNode,checkAllowFormat,766
NameNode,initializeSharedEdits,863
NameNode,parseArguments,1024
NameNode,parseArguments,1033
NameNode,doRecovery,1079
NameNode,doRecovery,1082
NameNode,doRecovery,1086
NameNode,createNameNode,1104
NameNode,monitorHealth,1235
NameNode,transitionToActive,1244
NameNode,transitionToStandby,1253
NameNode,getServiceStatus,1262
NameNode,checkHaStateChange,1422
NameNode,checkHaStateChange,1439
CheckpointSignature,<init>,51
CheckpointSignature,validateStorageInfo,142
FSEditLogOp$DeleteOp,readFields,868
FSEditLogLoader,loadFSEdits,99
FSEditLogLoader,loadEditRecords,144
FSEditLogLoader,loadEditRecords,219
FSEditLogLoader,applyEditLogOp,253
FSEditLogLoader,applyEditLogOp,298
FSEditLogLoader,applyEditLogOp,313
FSEditLogLoader,applyEditLogOp,334
FSEditLogLoader,applyEditLogOp,484
FSEditLogLoader,getINodeFile,510
FSEditLogLoader,updateBlocks,539
FSEditLogLoader,updateBlocks,568
FSEditLogLoader,updateBlocks,572
FSEditLogLoader,check203UpgradeFailure,636
INodeDirectoryWithQuota,verifyQuota,155
INodeDirectoryWithQuota,verifyQuota,158
nn_005fbrowsedfscontent_jsp,_jspService,85
LeaseManager$Monitor,run,417
GetImageServlet$GetImageParams,<init>,360
GetImageServlet$GetImageParams,<init>,379
GetImageServlet$GetImageParams,getInfoServer,416
GetImageServlet$1,run,129
GetImageServlet$1,run,175
GetImageServlet$1,serveFile,188
NNStorage,isPreUpgradableLayout,186
NNStorage,checkSchemeConsistency,345
NNStorage,setFieldsFromProperties,586
NNStorage,getDeprecatedProperty,615
NNStorage,findFinalizedEditsFile,702
NNStorage,setBlockPoolID,920
NNStorage,setBlockPoolID,925
NNStorage,readAndInspectDirs,983
NNStorage,readAndInspectDirs,986
FSImageFormat$Loader,checkLoaded,153
FSImageFormat$Loader,checkNotLoaded,162
FSImageFormat$Loader,load,170
FSImageFormat$Loader,load,188
FSImageFormat$Loader,load,234
FSImageFormat$Loader,load,237
FSImageFormat$Loader,loadLocalNameINodes,267
FSImageFormat$Loader,loadLocalNameINodes,269
FSImageFormat$Loader,loadLocalNameINodes,273
FSImageFormat$Loader,loadLocalNameINodes,285
GetImageServlet,doGet,206
GetImageServlet,doGet,209
FSImageTransactionalStorageInspector,getLatestImage,129
StandbyCheckpointer$CheckpointerThread,doWork,292
StandbyCheckpointer$CheckpointerThread,doWork,312
ConfiguredFailoverProxyProvider,<init>,93
StandbyState,checkOperation,87
HAZKInfoProtos$ActiveNodeInfo$Builder,build,415
HAZKInfoProtos$ActiveNodeInfo$Builder,buildParsed,425
HAZKInfoProtos$ActiveNodeInfo$Builder,setNameserviceId,584
HAZKInfoProtos$ActiveNodeInfo$Builder,setNamenodeId,620
HAZKInfoProtos$ActiveNodeInfo$Builder,setHostname,656
HAState,setState,125
BootstrapStandby,parseArgs,119
BootstrapStandby,doRun,193
BootstrapStandby,checkLogsAvailableForRead,223
BootstrapStandby,parseConfAndFindOtherNN,260
BootstrapStandby,parseConfAndFindOtherNN,267
BootstrapStandby,run,307
BootstrapStandby,run,309
EditLogTailer,getActiveNodeProxy,143
EditLogTailer,doTailEdits,230
EditLogTailer,doTailEdits,236
EditLogTailer,doTailEdits,244
StandbyCheckpointer,doCheckpoint,144
StandbyCheckpointer,doCheckpoint,149
StandbyCheckpointer,doCheckpoint,157
StandbyCheckpointer,doCheckpoint,167
StandbyCheckpointer,doCheckpoint,171
ListPathsServlet$2,run,172
FSImage,recoverTransitionRead,184
FSImage,recoverTransitionRead,193
FSImage,recoverTransitionRead,210
FSImage,recoverTransitionRead,223
FSImage,recoverTransitionRead,236
FSImage,recoverStorageDirs,285
FSImage,recoverStorageDirs,292
FSImage,recoverStorageDirs,310
FSImage,doUpgrade,326
FSImage,doUpgrade,353
FSImage,doUpgrade,354
FSImage,doUpgrade,355
FSImage,doUpgrade,356
FSImage,doUpgrade,362
FSImage,doUpgrade,400
FSImage,doRollback,429
FSImage,doRollback,437
FSImage,doRollback,452
FSImage,doRollback,455
FSImage,doFinalize,479
FSImage,doImportCheckpoint,500
FSImage,doImportCheckpoint,505
FSImage,doImportCheckpoint,518
FSImage,openEditLogForWrite,553
FSImage,loadFSImage,636
FSImage,loadEdits,707
FSImage,loadEdits,717
FSImage,loadFSImage,730
FSImage,loadFSImage,755
FSImage,saveNamespace,852
FSImage,saveNamespace,873
FSImage,saveFSImageInAllDirs,888
FSImage,saveFSImageInAllDirs,912
FSImage,saveFSImageInAllDirs,918
FSImage,saveFSImageInAllDirs,931
FSImage,renameCheckpointInDir,997
FileJournalManager,finalizeLogSegment,132
FileJournalManager,getRemoteEditLogs,184
FileJournalManager,addStreamsToCollectionFromFiles,271
FileJournalManager,recoverUnfinalizedSegments,300
FileJournalManager,recoverUnfinalizedSegments,309
FileJournalManager,getLogFile,366
NamenodeJspHelper,redirectToRandomDataNode,438
FSEditLogOp$AddCloseOp,<init>,177
FSEditLogOp$AddCloseOp,setBlocks,212
FSEditLogOp$AddCloseOp,readFields,265
FSEditLogOp$AddCloseOp,readBlocks,316
FSEditLogOp$AddCloseOp,readBlocks,318
ListPathsServlet,doGet,216
INodeFile,valueOf,39
INodeFile,valueOf,42
INodeFile,setReplication,87
INodeFile,setPreferredBlockSize,99
FSEditLogOp$MkdirOp,readFields,958
FSEditLogOp$TimesOp,readFields,1436
BackupNode,getHttpServerAddress,121
BackupNode,shouldCheckpointAtStartup,292
BackupNode,registerWith,385
BackupNode,handshake,402
BackupNode,handshake,406
FSEditLogOp$RenameOldOp,readFields,782
dfshealth_jsp,_jspService,123
FSImageFormat$Saver,checkSaved,490
FSImageFormat$Saver,checkNotSaved,497
FSImageFormat$Saver,save,565
corrupt_005ffiles_jsp,_jspService,131
EditsDoubleBuffer,close,66
EditsDoubleBuffer,setReadyToFlush,75
EditsDoubleBuffer,getFirstReadyTxId,114
NNStorageRetentionManager,purgeOldStorage,132
FSEditLogOp,delegationTokenFromXml,2490
EditLogFileInputStream,init,135
EditLogFileInputStream,init,144
EditLogFileInputStream,readLogVersion,309
NameNodeRpcServer,getBlocks,325
NameNodeRpcServer,startCheckpoint,368
NameNodeRpcServer,create,426
NameNodeRpcServer,abandonBlock,535
NameNodeRpcServer,rename,597
NameNodeRpcServer,rename2,619
NameNodeRpcServer,mkdirs,656
NameNodeRpcServer,getDatanodeReport,705
NameNodeRpcServer,createSymlink,845
NameNodeRpcServer,createSymlink,850
NameNodeRpcServer,verifyRequest,966
NameNodeRpcServer,refreshServiceAcl,974
NameNodeRpcServer,verifyLayoutVersion,1039
NameNodeRpcServer,verifySoftwareVersion,1049
NameNodeRpcServer,verifySoftwareVersion,1063
FSEditLogOp$LogSegmentOp,<init>,2081
dfsnodelist_jsp,_jspService,107
JournalSet,chainAndMakeRedundantStreams,284
JournalSet,mapJournalsAndReportErrors,376
FSEditLogLoader$PositionTrackingInputStream,checkLimit,715
FSEditLogLoader$PositionTrackingInputStream,reset,763
FSEditLogLoader$PositionTrackingInputStream,skip,778
FileJournalManager$EditLogFile,<init>,401
FileJournalManager$EditLogFile,<init>,407
FileJournalManager$EditLogFile,<init>,409
FileJournalManager$EditLogFile,<init>,410
FileJournalManager$EditLogFile,moveAsideCorruptFile,457
FileJournalManager$EditLogFile,moveAsideEmptyFile,462
FileJournalManager$EditLogFile,renameSelf,471
EditLogBackupOutputStream,create,90
EditLogBackupOutputStream,close,100
EditLogBackupOutputStream,flushAndSync,121
EditLogBackupOutputStream,flushAndSync,133
EditLogBackupOutputStream,flushAndSync,137
dfsclusterhealth_jsp,_jspService,91
corrupt_005freplicas_005fxml_jsp,_jspService,140
MetaRecoveryContext,editLogLoaderPrompt,94
MetaRecoveryContext,editLogLoaderPrompt,108
FSImageSerialization,readINodeUnderConstruction,108
FSImageSerialization,readCompactBlockArray,300
FSNamesystem$SafeModeInfo,initializeReplQueues,3963
FSNamesystem$SafeModeInfo,checkMode,4014
FSNamesystem$SafeModeInfo,decrementSafeBlockCount,4085
FSNamesystem$SafeModeInfo,doConsistencyCheck,4208
FSNamesystem$SafeModeInfo,doConsistencyCheck,4217
FSNamesystem$SafeModeInfo,adjustBlockTotals,4229
FSNamesystem$SafeModeInfo,adjustBlockTotals,4236
FSNamesystem$SafeModeInfo,adjustBlockTotals,4238
FSEditLogOp$Reader,readOp,2294
FSEditLogOp$Reader,readOp,2302
FSEditLogOp$Reader,readOp,2308
FSEditLogOp$Reader,verifyTerminator,2338
FSEditLogOp$Reader,verifyTerminator,2353
FSEditLogOp$Reader,decodeOp,2389
FSEditLogOp$Reader,validateChecksum,2416
EditLogFileInputStream$URLLog$1,run,383
EditLogFileInputStream$URLLog$1,run,391
EditLogFileInputStream$URLLog$1,run,396
Checkpointer,countUncheckpointedTxns,168
Checkpointer,doCheckpoint,188
Checkpointer,doCheckpoint,194
Checkpointer,doCheckpoint,227
Checkpointer,doCheckpoint,256
BackupImage,recoverCreateRead,119
BackupImage,journal,184
BackupImage,applyEdits,212
BackupImage,applyEdits,226
BackupImage,applyEdits,236
BackupImage,convergeJournalSpool,251
BackupImage,tryConvergeJournalSpool,320
BackupImage,tryConvergeJournalSpool,323
SecondaryNameNode,<init>,184
SecondaryNameNode,downloadCheckpointFiles,391
SecondaryNameNode,downloadCheckpointFiles,397
SecondaryNameNode,getInfoServer,448
SecondaryNameNode,processStartupCommand,556
SecondaryNameNode,processStartupCommand,579
SecondaryNameNode,countUncheckpointedTxns,587
SecondaryNameNode,doMerge,911
EditsDoubleBuffer$TxnBuffer,writeOp,147
RedundantEditLogInputStream,nextOp,191
RedundantEditLogInputStream,nextOp,203
RedundantEditLogInputStream,nextOp,209
status_jsp,_jspService,82
FSEditLogOp$RenameOp,readFields,1659
FSEditLogOp$RenameOp,fromXml,1749
SecondaryNameNode$CheckpointStorage,recoverCreate,848
SecondaryNameNode$CheckpointStorage,recoverCreate,864
SecondaryNameNode$CheckpointStorage,ensureCurrentDirExists,895
FSPermissionChecker,checkSuperuserPrivilege,75
FSPermissionChecker,checkOwner,155
FSPermissionChecker,check,205
FSPermissionChecker,checkStickyBit,224
FSEditLogOp$ConcatDeleteOp,setSources,621
FSEditLogOp$ConcatDeleteOp,readFields,655
